# Tesserae V3 results
#
# session   = 00000006
# source    = statius.thebaid
# target    = statius.achilleid
# unit      = line
# feature   = stem
# stopsize  = 10
# stbasis   = both
# stopwords = et qui quis in hic iam ille neque tu ego
# max_dist  = 10
# dibasis   = freq
# cutoff    = 9
# filter    = off

"RESULT"	"TARGET_LOC"	"TARGET_TXT"	"SOURCE_LOC"	"SOURCE_TXT"	"SHARED"	"SCORE"
59	"stat. ach. 1.68"	"eheu quos gemitus **terris** **caeloque** daturus,"	"stat. theb. 11.692"	"linquere tecta iubes? **caelum** **terramque** reliqui"	"caelum-caelus; terra"	9.83
60	"stat. ach. 1.69"	"quos mihi! sic Phrygiae **pensamus** **gaudia** palmae,"	"stat. theb. 5.711"	"**pensavit** lacrimas inopinaque **gaudia** maestae"	"penso; gaudium"	9.41
61	"stat. ach. 1.70"	"hi **veneris** **mores**, hoc gratae munus alumnae?"	"stat. theb. 1.170"	"dissidet, et, qui **mos** populis, **venturus** amatur."	"uenio; mos"	9.35
62	"stat. ach. 1.70"	"hi veneris mores, hoc **gratae** **munus** alumnae?"	"stat. theb. 10.256"	"frontis, et oblatam Polynicis **munere** **grato**"	"munus; gratus"	10.05
63	"stat. ach. 1.77"	"Orabat laniata genas et **pectore** **nudo**"	"stat. theb. 6.746"	"sustulit exsultans **nudumque** in **pectora** pressit,"	"nudus; pectus"	9.56
64	"stat. ach. 1.77"	"Orabat laniata genas et **pectore** **nudo**"	"stat. theb. 7.281"	"**nudaque** pro caris opponere **pectora** muris,"	"nudo-nudus; pectus"	9.22
65	"stat. ach. 1.77"	"**Orabat** laniata genas et pectore **nudo**"	"stat. theb. 10.166"	"non capit: exundant stimuli, **nudusque** per **ora**"	"oro; nudus"	9.06
66	"stat. ach. 1.77"	"**Orabat** laniata **genas** et pectore nudo"	"stat. theb. 11.226"	"dixerat: ast illi niger ignis in **ora** **genasque**"	"oro; gena"	9.57
67	"stat. ach. 1.77"	"**Orabat** laniata **genas** et pectore nudo"	"stat. theb. 11.584"	"obnubit furiale caput; procul **ora** **genaeque**"	"oro; gena"	9.57
68	"stat. ach. 1.79"	"invitat curru **dictisque** ita **mulcet** amicis:"	"stat. theb. 1.478"	"tunc quoque **mulcentem** **dictis** corda aspera regem"	"dico-dicte-dictum; mulceo"	9.67
69	"stat. ach. 1.79"	"invitat curru **dictisque** ita **mulcet** amicis:"	"stat. theb. 3.178"	"concilium infaustum **dictis** **mulcebat** Aletes:"	"dico-dicte-dictum; mulceo"	9.67
70	"stat. ach. 1.79"	"invitat curru **dictisque** **ita** **mulcet** **amicis**:"	"stat. theb. 3.294"	"laedit in amplexu **dictisque** **ita** **mulcet** **amicis**:"	"dico-dicte-dictum; amica-amicus; ita-ito; mulceo-mulco"	9.91
71	"stat. ach. 1.79"	"**invitat** curru **dictisque** ita mulcet amicis:"	"stat. theb. 9.891"	"**dic**: merui, genetrix, poenas **invita** capesse;"	"dico; inuito"	9.24
72	"stat. ach. 1.79"	"invitat curru **dictisque** **ita** mulcet amicis:"	"stat. theb. 12.333"	"! **dicebam**: quo tendis **iter**? quid sceptra negata"	"dico; ito"	9.43
73	"stat. ach. 1.81"	"fata **vetant**, **ratus** ordo deis miscere cruentas"	"stat. theb. 1.239"	"calcavere oculos, iam, iam **rata** **vota** tulisti,"	"reor; ueto"	9.91
74	"stat. ach. 1.81"	"**fata** **vetant**, ratus ordo deis miscere cruentas"	"stat. theb. 1.503"	"advehis alma fidem **veterisque** exordia **fati**"	"fatum-for; ueto"	9.07
75	"stat. ach. 1.81"	"fata **vetant**, ratus ordo deis **miscere** cruentas"	"stat. theb. 5.5"	"**votaque**, sanguineis **mixtum** ceu fontibus ignem"	"misceo; ueto"	9.51
