# Tesserae V3 results
#
# session   = 00000078
# source    = vergil.aeneid
# target    = statius.achilleid.part.7.1,560-674
# unit      = line
# feature   = stem
# stopsize  = 10
# stbasis   = both
# stopwords = et qui quis hic in ego tu neque ille iam
# max_dist  = 10
# dibasis   = freq
# cutoff    = 9
# filter    = off

"RESULT"	"TARGET_LOC"	"TARGET_TXT"	"SOURCE_LOC"	"SOURCE_TXT"	"SHARED"	"SCORE"
73	"stat. ach. 1.653"	"tegmina, ni primo tu **visa** in litore: **cessi**"	"verg. aen. 12.324"	"Turnus ut Aenean **cedentem** ex agmine **vidit**"	"cedo; uideo"	9.16
74	"stat. ach. 1.654"	"te propter, tibi **pensa** **manu**, tibi mollia gesto"	"verg. aen. 9.476"	"excussi **manibus** radii revolutaque **pensa**."	"pendo-pensa-penso-pensum; manus"	9.35
75	"stat. ach. 1.656"	"quid **gemis** **ingentes** caelo paritura nepotes?"	"verg. aen. 6.413"	"**ingentem** Aenean.  **Gemuit** sub pondere cymba"	"ingens; gemo"	9.62
76	"stat. ach. 1.657"	"sed pater — : ante igni **ferroque** excisa **iacebit**"	"verg. aen. 11.102"	"corpora, per campos **ferro** quae fusa **iacebant**,"	"ferrum; iaceo"	9.29
77	"stat. ach. 1.658"	"Scyros et in **tumidas** **ibunt** haec versa procellas"	"verg. aen. 8.671"	"Haec inter **tumidi** late maris **ibat** imago"	"tumidus; eo"	9.52
78	"stat. ach. 1.658"	"Scyros et in tumidas ibunt haec **versa** **procellas**"	"verg. aen. 11.798"	"non dedit, inque Notos vocem **vertere** **procellae**."	"uerto; procella"	9.90
79	"stat. ach. 1.660"	"funere: non **adeo** parebimus **omnia** matri.”"	"verg. aen. 12.548"	"Totae **adeo** conversae acies, **omnesque** Latini,"	"adeo; omnis"	9.22
80	"stat. ach. 1.664"	"horruit et **facies** multum **mutata** fatentis."	"verg. aen. 1.658"	"Consilia, ut **faciem** **mutatus** et ora Cupido"	"facies; mutatus-muto"	9.18
81	"stat. ach. 1.664"	"horruit et **facies** **multum** mutata fatentis."	"verg. aen. 9.336"	"luserat, insignis **facie**, **multoque** iacebat"	"facies; multus"	9.48
82	"stat. ach. 1.665"	"quid faciat? **casusne** suos ferat ipsa **parenti**"	"verg. aen. 2.563"	"et direpta domus, et **parvi** **casus** Iuli."	"pareo; cado-casus"	9.28
83	"stat. ach. 1.665"	"quid **faciat**? **casusne** suos ferat ipsa parenti"	"verg. aen. 3.504"	"atque idem **casus**, unam **faciemus** utramque"	"cado-casus; facio"	9.64
84	"stat. ach. 1.665"	"quid faciat? casusne suos **ferat** **ipsa** parenti"	"verg. aen. 7.62"	"**ipse** **ferebatur** Phoebo sacrasse Latinus"	"fero; ipse"	9.73
85	"stat. ach. 1.665"	"quid **faciat**? **casusne** suos ferat ipsa parenti"	"verg. aen. 9.299"	"parva manet. **Casus** **factum** quicumque sequentur,"	"cado-casus; facio"	9.33
86	"stat. ach. 1.666"	"seque simul **iuvenemque** **premat**, fortassis acerbas"	"verg. aen. 5.331"	"Hic **iuvenis** iam victor ovans vestigia **presso**"	"iuuenis; premo"	9.14
87	"stat. ach. 1.668"	"ille diu **deceptus** **amor**: silet aegra premitque"	"verg. aen. 4.17"	"postquam primus **amor** **deceptam** morte fefellit;"	"amo-amor; decipio"	9.83
88	"stat. ach. 1.670"	"altricem sociam, precibus quae **victa** **duorum**"	"verg. aen. 4.95"	"una dolo divom si femina **victa** **duorum** est!"	"duo; uicta-uinco-uiuo"	9.46
89	"stat. ach. 1.672"	"**surgentemque** uterum atque aegrosin pondere **menses**"	"verg. aen. 6.453"	"obscuram, qualem primo qui **surgere** **mense**"	"mensis; surgo"	9.43
90	"stat. ach. 1.673"	"occuluit, plenis **donec** stata **tempora** metis"	"verg. aen. 6.745"	"**donec** longa dies, perfecto **temporis** orbe,"	"donec; tempus"	9.09
91	"stat. ach. 1.673"	"occuluit, **plenis** donec stata tempora **metis**"	"verg. aen. 11.738"	"exspectate dapes et **plenae** pocula **mensae**,"	"metior; plenus"	9.39
