# Tesserae V3 results
#
# session   = 00000005
# source    = ovid.metamorphoses
# target    = statius.achilleid
# unit      = line
# feature   = stem
# stopsize  = 10
# stbasis   = both
# stopwords = et qui quis sum in hic ille ego neque tu
# max_dist  = 10
# dibasis   = freq
# cutoff    = 9
# filter    = off

"RESULT"	"TARGET_LOC"	"TARGET_TXT"	"SOURCE_LOC"	"SOURCE_TXT"	"SHARED"	"SCORE"
52	"stat. ach. 1.43"	"**non** **potui** infelix, cum primum gurgite nostro"	"ov. met. 4.61"	"sed vetuere patres. Quod **non** **potuere** vetare,"	"non; possum"	9.04
53	"stat. ach. 1.43"	"non potui **infelix**, cum primum gurgite **nostro**"	"ov. met. 7.861"	"**infelicem** animam **nostroque** exhalat in ore;"	"noster; infelix"	9.57
54	"stat. ach. 1.43"	"**non** **potui** infelix, cum primum gurgite nostro"	"ov. met. 9.609"	"flectere **non** **poterant**, **potuissent** omnia, mentem."	"non; possum"	9.81
55	"stat. ach. 1.43"	"non potui infelix, **cum** **primum** gurgite nostro"	"ov. met. 10.240"	"corpora **cum** forma **primae** vulgasse feruntur:"	"primus; cum"	9.01
56	"stat. ach. 1.44"	"Rhoeteae **cecidere** **trabes**, attollere magnum"	"ov. met. 8.329"	"Silva frequens **trabibus**, quam nulla **ceciderat** aetas,"	"trabs; caedo"	9.38
57	"stat. ach. 1.44"	"Rhoeteae **cecidere** trabes, attollere **magnum**"	"ov. met. 12.68"	"Protesilae, **cadis**, commissaque proelia **magno**"	"cado; magnus"	9.30
58	"stat. ach. 1.46"	"tempestate **sequi** **cunctasque** inferre sorores?"	"ov. met. 3.714"	"turba furens; **cunctae** coeunt trepidumque **sequuntur**,"	"cunctus; sequor"	9.20
59	"stat. ach. 1.48"	"**ibo** tamen pelagique deos **dextramque** secundi,"	"ov. met. 6.494"	"Lux erat, et generi **dextram** complexus **euntis**"	"eo; dexter-dextera"	9.03
60	"stat. ach. 1.48"	"ibo **tamen** pelagique deos **dextramque** secundi,"	"ov. met. 7.495"	"agnovere **tamen** Cephalum **dextrasque** dedere"	"tamen; dexter-dextera"	9.42
61	"stat. ach. 1.49"	"**quod** **superest**, complexa Iovis per Tethyos annos"	"ov. met. 10.62"	"**Supremumque** “vale,” **quod** iam vix auribus ille"	"quod; superus"	9.04
62	"stat. ach. 1.50"	"grandaevumque patrem **supplex** miseranda **rogabo**"	"ov. met. 6.33"	"**supplice** voce **roga**: veniam dabit illa **roganti**.”"	"rogo; supplex"	9.95
63	"stat. ach. 1.50"	"**grandaevumque** **patrem** supplex miseranda rogabo"	"ov. met. 7.160"	"**grandaevique** ferunt **patres** congestaque flamma"	"pater-patro; grandaeuus"	9.93
64	"stat. ach. 1.50"	"**grandaevumque** **patrem** supplex miseranda rogabo"	"ov. met. 8.520"	"**grandaevumque** **patrem** fratresque piasque sorores"	"grandaeuus; pater-patro"	10.07
65	"stat. ach. 1.51"	"unam hiemem.” **dixit** **magnumque** in tempore regem"	"ov. met. 7.682"	"**maiorem** specie mirabere” **dixit** “in isto."	"dico; magnus"	9.61
66	"stat. ach. 1.51"	"**unam** hiemem.” **dixit** magnumque in tempore regem"	"ov. met. 7.735"	"reppulerint mores, quotiens ‘ego’ **dixerit** ‘**uni**"	"unus; dico"	9.81
67	"stat. ach. 1.51"	"unam hiemem.” **dixit** **magnumque** in tempore regem"	"ov. met. 15.67"	"**dictaque** mirantum **magni** primordia mundi"	"magnus; dico"	9.27
68	"stat. ach. 1.52"	"aspicit. Oceano **veniebat** ab **hospite**, mensis"	"ov. met. 5.493"	"Nec sum pro patria supplex: huc **hospita** **veni**;"	"hospitus; uenio"	9.16
69	"stat. ach. 1.52"	"aspicit. Oceano **veniebat** **ab** hospite, mensis"	"ov. met. 15.260"	"crediderim: sic ad ferrum **venistis** **ab** auro,"	"uenio; ab"	9.38
70	"stat. ach. 1.53"	"laetus et aequoreo **diffusus** **nectare** vultus —"	"ov. met. 3.316"	"forte Iovem memorant, **diffusum** **nectare**, curas"	"diffundo-diffusus; nectar-necto"	10.21
71	"stat. ach. 1.54"	"unde hiemes **ventique** silent **cantuque**, quieto"	"ov. met. 7.195"	"adiutrixque **venis** **cantusque** artisque magorum,"	"uenio; cano-cantus"	9.49
72	"stat. ach. 1.54"	"**unde** hiemes ventique silent **cantuque**, quieto"	"ov. met. 14.338"	"**unde** **Canens** dicta est: silvas et saxa movere"	"unde; cano"	9.52
73	"stat. ach. 1.56"	"Tyrrhenique greges **circumque** intraque **rotantur**"	"ov. met. 12.296"	"Te quoque, saeve Drya, **circum** caput igne **rotato**"	"circum; roto"	9.56
74	"stat. ach. 1.57"	"**rege** **salutato**; placidis ipse arduus undis"	"ov. met. 7.651"	"adspicio noscoque. Adeunt **regemque** **salutant**."	"saluto; rex"	9.85
75	"stat. ach. 1.57"	"rege salutato; placidis **ipse** arduus **undis**"	"ov. met. 11.567"	"nominat Alcyonen **ipsisque** inmurmurat **undis**."	"unda; ipse"	9.52
76	"stat. ach. 1.57"	"rege salutato; **placidis** ipse arduus **undis**"	"ov. met. 13.899"	"discedunt **placidisque** natant Nereides **undis**."	"unda; placidus"	9.27
77	"stat. ach. 1.58"	"eminet et triplici telo **iubet** **ire** iugales,"	"ov. met. 13.242"	"a Diomede legi (nec me sors **ire** **iubebat** !),"	"eo-iris-irus; iubeo"	9.29
78	"stat. ach. 1.59"	"illi spumiferos glomerant **a** **pectore** cursus,"	"ov. met. 3.629"	"sit sopor **aque** mero redeant in **pectora** sensus,"	"pectus; a-ab"	9.36
79	"stat. ach. 1.60"	"pone **natant** delentque **pedum** vestigia cauda—"	"ov. met. 15.376"	"et generat truncas **pedibus**, mox apta **natando**"	"pes; nato"	9.55
80	"stat. ach. 1.61"	"**cum** Thetis: “o magni **genitor** rectorque **profundi**,"	"ov. met. 11.202"	"**cumque** tridentigero tumidi **genitore** **profundi**"	"cum; profundo-profundum-profundus; genitor"	9.12
