# Tesserae V3 results
#
# session   = 00000004
# source    = ovid.elegies
# target    = statius.achilleid
# unit      = line
# feature   = stem
# stopsize  = 10
# stbasis   = both
# stopwords = et qui quis sum ego tu in ille hic neque
# max_dist  = 10
# dibasis   = freq
# cutoff    = 9
# filter    = off

"RESULT"	"TARGET_LOC"	"TARGET_TXT"	"SOURCE_LOC"	"SOURCE_TXT"	"SHARED"	"SCORE"
48	"stat. ach. 1.48"	"ibo tamen pelagique **deos** **dextramque** secundi,"	"ov. her.2.31"	"Iura fidesque ubi nunc, commissaque **dextera** **dextrae**, / Quique erat in falso plurimus ore **deus**?"	"dexter-dextera; deus"	9.08
49	"stat. ach. 1.48"	"ibo tamen **pelagique** **deos** dextramque secundi,"	"ov. her.19.145"	"Turpe **deo** **pelagi** iuvenem terrere natantem, / Gloriaque est stagno quolibet ista minor."	"pelagius-pelagus; deus"	9.26
50	"stat. ach. 1.49"	"quod **superest**, complexa Iovis per Tethyos **annos**"	"ov. rem.113"	"Post tamen hic multos sanatus creditur **annos** / **Supremam** bellis imposuisse manum."	"annus; superus"	9.04
51	"stat. ach. 1.49"	"quod superest, **complexa** **Iovis** per Tethyos annos"	"ov. her.16.251"	"Pectora vel puris nivibus vel lacte tuamve / **Complexo** matrem candidiora **Iove**."	"iuppiter; complector-complexo"	9.42
52	"stat. ach. 1.50"	"grandaevumque patrem **supplex** miseranda **rogabo**"	"ov. am.2.5.49"	"Qui modo saevus eram, **supplex** ultroque **rogavi**, / Oscula ne nobis deteriora daret."	"supplex; rogo"	9.10
53	"stat. ach. 1.51"	"**unam** hiemem.” **dixit** magnumque in tempore regem"	"ov. ars.2.645"	"Omnibus Andromache visa est spatiosior aequo: / **Unus**, qui modicam **diceret**, Hector erat."	"unus; dico"	9.22
54	"stat. ach. 1.51"	"**unam** hiemem.” **dixit** magnumque in tempore regem"	"ov. ars.3.37"	"Quaere, novem cur **una** viae **dicantur**, et audi / Depositis silvas Phyllida flesse comis."	"unus; dico"	9.35
55	"stat. ach. 1.51"	"unam hiemem.” **dixit** **magnumque** in tempore regem"	"ov. her.10.87"	"Et freta **dicuntur** **magnas** expellere phocas! / Quis vetat et gladios per latus ire meum?"	"magnus; dico"	9.30
56	"stat. ach. 1.51"	"**unam** hiemem.” **dixit** magnumque in tempore regem"	"ov. her.11.59"	"Et mihi 'vive, soror, soror o carissima,' **dixti**; / 'Vive nec **unius** corpore perde duos!"	"unus; dico"	9.44
57	"stat. ach. 1.52"	"aspicit. **Oceano** **veniebat** **ab** hospite, mensis"	"ov. am.1.13.1"	"Iam super **oceanum** **venit** **a** seniore marito / Flava pruinoso quae vehit axe diem."	"oceanum-oceanus; uenio; ab"	9.83
