# Tesserae V3 results
#
# session   = 00000075
# source    = ovid.elegies
# target    = statius.achilleid.part.7.1,560-674
# unit      = line
# feature   = stem
# stopsize  = 10
# stbasis   = both
# stopwords = et qui quis sum ego tu in ille hic neque
# max_dist  = 10
# dibasis   = freq
# cutoff    = 9
# filter    = off

"RESULT"	"TARGET_LOC"	"TARGET_TXT"	"SOURCE_LOC"	"SOURCE_TXT"	"SHARED"	"SCORE"
64	"stat. ach. 1.625"	"usque **feres**? **primumque** imbelli carcere perdes"	"ov. am.3.10.9"	"Sed glandem quercus, oracula **prima**, **ferebant**; / Haec erat et teneri caespitis herba cibus."	"primus; fero"	9.82
65	"stat. ach. 1.625"	"usque **feres**? primumque imbelli carcere **perdes**"	"ov. ars.1.447"	"Si dederis aliquid, poteris ratione relinqui: / Praeteritum **tulerit**, **perdideritque** nihil. "	"fero; perdo"	9.49
66	"stat. ach. 1.625"	"usque **feres**? primumque imbelli carcere **perdes**"	"ov. her.4.169"	"Sic tibi secretis agilis dea saltibus adsit, / Silvaque **perdendas** praebeat alta **feras**;"	"fero; perdo"	9.05
67	"stat. ach. 1.626"	"florem animi? **non** tela **licet** Mavortia dextra,"	"ov. her.17.163"	"Vela quidem Creten ventis dedit ille secundis; / Sed tu **non** ideo cuncta **licere** puta!"	"licet; non"	9.12
68	"stat. ach. 1.627"	"**non** **trepidas** agitare feras, ubi campus et amnes"	"ov. am.2.2.5"	"Protinus, ut placuit, misi scriptoque rogavi. / Rescripsit **trepida** '**non** licet!' illa manu; "	"trepido-trepidus; non"	9.70
69	"stat. ach. 1.627"	"**non** **trepidas** agitare **feras**, ubi campus et amnes"	"ov. am.3.8.25"	"Discite, qui sapitis, **non** quae nos scimus inertes, / Sed **trepidas** acies et **fera** castra sequi"	"trepido-trepidus; non; fera-ferus"	9.23
70	"stat. ach. 1.627"	"**non** trepidas **agitare** feras, ubi campus et amnes"	"ov. ars.2.27"	"Et quoniam in patria, fatis **agitatus** iniquis, / Vivere **non** potui, da mihi posse mori."	"non; agito"	9.20
71	"stat. ach. 1.627"	"non trepidas agitare **feras**, **ubi** **campus** et amnes"	"ov. her.12.199"	"Dos **ubi** sit, quaeris? **campo** numeravimus illo, / Qui tibi **laturo** vellus arandus erat."	"fero; campus; ubi-ubius"	9.24
72	"stat. ach. 1.628"	"Haemonii? **quaerisne** **meos**, Sperchie, natatus"	"ov. am.3.1.5"	"Hic ego dum spatior tectus nemoralibus umbris ---  / Quod **mea**, **quaerebam**, Musa moveret opus --- "	"meus; quaero"	9.81
73	"stat. ach. 1.628"	"Haemonii? **quaerisne** **meos**, Sperchie, natatus"	"ov. her.16.241"	"A, quotiens lacrimis venientibus ora reflexi, / Ne causam fletus **quaereret** ille **mei**!"	"mei-meus; quaero"	9.60
74	"stat. ach. 1.631"	"**dicor**, et orbatus plangit **mea** funera Chiron?"	"ov. am.1.4.25"	"Cum tibi, quae faciam, **mea** lux, **dicamve**, placebunt, / Versetur digitis anulus usque tuis."	"dico; meo-meum-meus"	9.03
75	"stat. ach. 1.637"	"aequaevamque facem **captus** **noctesque** diesque"	"ov. am.1.8.73"	"Saepe nega **noctes**. **capitis** modo finge dolorem, / Et modo, quae causas praebeat, Isis erit."	"nox; capio"	9.10
76	"stat. ach. 1.637"	"aequaevamque facem captus **noctesque** **diesque**"	"ov. am.3.6.9"	"Quid properasse iuvat, quid parca dedisse quieti / Tempora, quid **nocti** conseruisse **diem**,"	"dies; nox"	9.69
77	"stat. ach. 1.637"	"aequaevamque facem **captus** **noctesque** diesque"	"ov. ars.2.137"	"Illic Sithonii fuerant tentoria Rhesi: / Hac ego sum **captis** **nocte** revectus equis.'"	"capio-captus; nox"	9.87
78	"stat. ach. 1.637"	"aequaevamque facem captus **noctesque** **diesque**"	"ov. ars.2.347"	"Te semper videat, tibi semper praebeat aures; / Exhibeat vultus **noxque** **diesque** tuos. "	"dies; nox"	10.09
79	"stat. ach. 1.637"	"aequaevamque facem **captus** **noctesque** diesque"	"ov. her.3.19"	"Si progressa forem, **caperer** ne, **nocte**, timebam, / Quamlibet ad Priami munus itura nurum."	"nox; capio"	9.65
80	"stat. ach. 1.638"	"dissimulas. quonam **usque** **premes** urentia pectus"	"ov. am.1.5.23"	"Singula quid referam? nil non laudabile vidi / Et nudam **pressi** corpus ad **usque** meum."	"usque; premo"	9.41
81	"stat. ach. 1.638"	"dissimulas. quonam usque premes **urentia** **pectus**"	"ov. her.4.19"	"Venit amor gravius, quo serius --- **urimur** intus; / **Urimur**, et caecum **pectora** vulnus habent. "	"pectus; uro"	9.25
82	"stat. ach. 1.638"	"dissimulas. quonam usque premes **urentia** **pectus**"	"ov. her.8.57"	"Rumpor, et ora mihi pariter cum mente tumescunt, / **Pectoraque** inclusis ignibus **usta** dolent."	"pectus; uro"	9.04
83	"stat. ach. 1.640"	"Sic ait; et **densa** **noctis** gavisus in umbra"	"ov. am.1.9.15"	"Quis nisi vel miles vel amans et frigora **noctis** / Et **denso** mixtas perferet imbre nives?"	"densus; nox"	9.09
84	"stat. ach. 1.640"	"Sic ait; et densa noctis **gavisus** in **umbra**"	"ov. her.12.159"	"Laese pater, **gaude**! Colchi **gaudete** relicti! / Inferias **umbrae** fratris habete mei;"	"gaudeo; umbra"	9.96
85	"stat. ach. 1.642"	"vi **potitur** **votis** et toto pectore veros"	"ov. ars.1.737"	"Ut **voto** **potiare** tuo, miserabilis esto, / Ut qui te videat, dicere possit 'amas.'"	"uotum-uoueo; potio"	9.13
86	"stat. ach. 1.642"	"vi potitur votis et toto **pectore** **veros**"	"ov. her.18.67"	"Neu referam mores caelesti **pectore** dignos, / Forma nisi in **veras** non cadit illa deas."	"uerus; pectus"	9.09
87	"stat. ach. 1.643"	"admovet amplexus; **vidit** **chorus** omnis ab alto"	"ov. ars.3.167"	"Nec rubor est emisse; palam venire **videmus** / Herculis ante oculos virgineumque **chorum**. "	"chorus; uideo"	9.71
88	"stat. ach. 1.643"	"admovet **amplexus**; **vidit** chorus omnis ab alto"	"ov. her.4.139"	"**Viderit** **amplexos** aliquis, laudabimur ambo; / Dicar privigno fida noverca meo."	"amplector; uideo"	9.83
89	"stat. ach. 1.643"	"admovet amplexus; vidit chorus **omnis** **ab** alto"	"ov. her.15.45"	"Haec quoque laudabas, **omnique** **a** parte placebam ---  / Sed tum praecipue, cum fit amoris opus."	"ab; omnis"	9.68
90	"stat. ach. 1.643"	"admovet amplexus; **vidit** chorus **omnis** ab alto"	"ov. her.15.121"	"Non veniunt in idem pudor atque amor. **omne** **videbat** / Vulgus; eram lacero pectus aperta sinu."	"uideo; omnis"	9.51
91	"stat. ach. 1.643"	"admovet amplexus; **vidit** chorus **omnis** ab alto"	"ov. her.20.89"	"Ipsa tibi dices, ubi **videris** **omnia** ferri: / 'Tam bene qui servit, serviat iste mihi!'"	"uideo; omnis"	9.48
92	"stat. ach. 1.645"	"**illa** quidem clamore **nemus** montemque replevit:"	"ov. her.15.137"	"Antra **nemusque** peto, tamquam **nemus** antraque prosint ---  / Conscia deliciis **illa** fuere meis."	"illa; nemus-neo-no"	9.11
93	"stat. ach. 1.647"	"signa choris indicta **putant**; fragor undique **notus**"	"ov. am.2.2.19"	"Scripta leget secum --- matrem misisse **putato**! / Venerit ignotus --- postmodo **notus** erit."	"puto; nosco-notus"	9.11
94	"stat. ach. 1.647"	"signa choris indicta **putant**; fragor undique **notus**"	"ov. ars.3.325"	"Quamvis mutus erat, voci favisse **putatur** / Piscis, Arioniae fabula **nota** lyrae."	"puto; nosco-notus"	9.02
95	"stat. ach. 1.647"	"signa choris indicta **putant**; fragor undique **notus**"	"ov. her.2.105"	"Iamque tibi excidimus, nullam, **puto**, Phyllida **nosti**. / Ei mihi! si, quae sim Phyllis et unde, rogas --- "	"puto; nosco"	9.28
96	"stat. ach. 1.647"	"signa choris **indicta** putant; fragor undique **notus**"	"ov. her.16.3"	"Eloquar, an flammae non est opus **indice** **notae**, / Et plus quam vellem iam meus extat amor?"	"indico; nosco-notus"	9.63
97	"stat. ach. 1.651"	"paene **Iovi** silvis nivibusque immisit **alendum**"	"ov. ars.2.37"	"Restat iter caeli: caelo temptabimus ire. / Da veniam coepto, **Iupiter** **alte**, meo:"	"alo; iuppiter"	9.60
98	"stat. ach. 1.651"	"paene Iovi **silvis** nivibusque immisit **alendum**"	"ov. her.4.169"	"Sic tibi secretis agilis dea saltibus adsit, / **Silvaque** perdendas praebeat **alta** feras;"	"alo; silua"	9.15
99	"stat. ach. 1.652"	"Thessalicis. nec ego hos **cultus** aut foeda **subissem**"	"ov. am.2.4.37"	"Non est **culta** --- **subit**, quid **cultae** accedere possit; / Ornata est --- dotes exhibet ipsa suas."	"colo-cultus; colo; subeo"	9.32
